clipping_fraction,dsp_issues,file,good,peak,qwen_clarity_score,qwen_good,qwen_has_severe_noise,qwen_reason,rms_db,score,spectral_flatness,zero_crossing_rate
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_48.wav,True,0.11951,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-36.23,100.0,0.1831,0.2121
0.0,none,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_67.wav,True,0.90894,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the industrial techno beat.,-30.73,100.0,0.1722,0.2606
0.0,harsh_hiss,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_12.wav,True,0.38327,8.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the music.,-36.43,70.0,0.1883,0.4363
0.0,harsh_hiss,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_25.wav,True,0.54776,7.0,True,False,The recording has some distortion but is generally clear and easy to listen to.,-30.79,70.0,0.1289,0.3845
0.0,harsh_hiss,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_58.wav,True,0.73297,8.0,True,False,The recording has some background noise but is generally clear and well-balanced.,-33.4,70.0,0.2374,0.3802
0.0,high_spectral_noise,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_57.wav,True,0.4809,8.0,True,False,The audio has some background noise but it is not severe and does not obscure the main melody.,-37.32,60.0,0.305,0.2947
0.000671,high_spectral_noise,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_59.wav,True,0.99994,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-32.34,60.0,0.268,0.2768
0.0,too_quiet,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_40.wav,False,0.19327,,,,,-41.59,50.0,0.2257,0.2836
0.0,too_quiet,C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_68.wav,False,0.17831,,,,,-39.43,50.0,0.1552,0.2625
0.0,"high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_20.wav,False,0.3045,,,,,-37.29,30.0,0.417,0.4345
0.0,"high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_21.wav,False,0.81204,,,,,-35.54,30.0,0.322,0.3785
0.0,"high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_31.wav,False,0.29495,,,,,-37.66,30.0,0.3056,0.498
0.0,"high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_33.wav,False,0.57098,,,,,-32.06,30.0,0.3296,0.3118
0.0,"high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_5.wav,False,0.85464,,,,,-36.15,30.0,0.3733,0.4422
0.0,"high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_63.wav,False,0.46811,,,,,-33.77,30.0,0.4431,0.4867
0.0,"high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_70.wav,False,0.99539,,,,,-37.56,30.0,0.3664,0.4353
0.0,"high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_8.wav,False,0.55228,,,,,-36.55,30.0,0.4844,0.4087
0.0,"too_quiet, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_38.wav,False,0.40289,,,,,-39.11,20.0,0.25,0.4323
0.0,"too_quiet, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_60.wav,False,0.24536,,,,,-42.21,20.0,0.2117,0.3074
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_10.wav,False,0.0712,,,,,-42.41,10.0,0.312,0.2714
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_19.wav,False,0.11023,,,,,-41.82,10.0,0.3336,0.2956
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_24.wav,False,0.22668,,,,,-39.18,10.0,0.2746,0.2889
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_28.wav,False,0.20734,,,,,-50.92,10.0,0.3371,0.2956
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_39.wav,False,0.17746,,,,,-43.25,10.0,0.2571,0.2436
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_42.wav,False,0.13641,,,,,-46.07,10.0,0.2797,0.2855
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_55.wav,False,0.16272,,,,,-42.96,10.0,0.2975,0.28
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_65.wav,False,0.27664,,,,,-40.83,10.0,0.2679,0.2817
0.0,"too_quiet, high_spectral_noise",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_78.wav,False,0.78705,,,,,-44.08,10.0,0.2886,0.2823
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_1.wav,False,0.06873,,,,,-40.5,0.0,0.517,0.4874
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_11.wav,False,0.116,,,,,-38.52,0.0,0.51,0.4689
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_13.wav,False,0.40048,,,,,-40.09,0.0,0.3249,0.3329
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_14.wav,False,0.04736,,,,,-44.53,0.0,0.5115,0.4447
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_15.wav,False,0.11472,,,,,-46.29,0.0,0.487,0.4398
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_16.wav,False,0.17712,,,,,-40.16,0.0,0.5159,0.4201
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_17.wav,False,0.20044,,,,,-41.04,0.0,0.4786,0.3943
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_18.wav,False,0.134,,,,,-42.39,0.0,0.4496,0.4181
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_2.wav,False,0.0723,,,,,-41.96,0.0,0.4518,0.3739
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_22.wav,False,0.21823,,,,,-40.47,0.0,0.3843,0.3662
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_23.wav,False,0.19116,,,,,-42.12,0.0,0.3573,0.4173
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_26.wav,False,0.082,,,,,-43.65,0.0,0.3423,0.4186
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_27.wav,False,0.44824,,,,,-39.29,0.0,0.3041,0.3514
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_29.wav,False,0.14597,,,,,-42.73,0.0,0.4628,0.364
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_3.wav,False,0.24512,,,,,-42.67,0.0,0.324,0.5948
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_30.wav,False,0.14749,,,,,-45.68,0.0,0.2862,0.3051
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_32.wav,False,0.37396,,,,,-42.84,0.0,0.3095,0.3197
0.0,"too_quiet, high_spectral_noise, harsh_hiss",C:\Users\sepan\sparke-photo to audio\tango_sounds\sparke_audio_34.wav,False,0.14038,,,,,-48.65,0.0,0.2917,0.3013
